Altitude,Temperature,Pressure,Humidity,Heading,Speed
431,284.1,9456.2,72.31,143.08,14.2632
450,283.5,9500.7,71.22,160.98,12.095
470,283.2,9506.7,69.46,168.91,10.799
482,282.8,9511.5,68.88,168.91,7.905
484,282.4,9516.9,68.37,168.91,7.95
489,282.1,9522.2,69.16,170.9,8.531
493,282.1,9527.6,71.15,170.9,10.279
497,281.8,9532.9,73.11,170.9,12.473
501,281.8,9537.8,73.16,170.9,15.154
508,282.1,9542.8,72.46,172.87,17.877
513,282.5,9547.6,71.96,170.9,13.154
520,283.2,9552.7,70.69,166.86,11.069
530,283.4,9557.5,71.16,166.86,8.531
540,283.5,9562.6,71.49,166.86,10.95
550,283.5,9567.6,71.46,168.91,12.743
559,283.2,9572.5,71.14,168.91,10.279
